               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071205,            0.091859,                   0,             0.83919,             0.68281,             0.79613,             0.35619,            0.048535,            0.081586,                   0,            0.070056,           0.0033271,           0.0033271
                   1,            0.054192,            0.084271,                   0,             0.90343,             0.74137,             0.85483,             0.43967,            0.044171,            0.074781,                   0,            0.040023,           0.0066274,           0.0066274
                   2,             0.04925,            0.081156,                   0,             0.91466,             0.78693,             0.89387,             0.53416,            0.040498,            0.071584,                   0,           0.0099575,           0.0098948,           0.0098948
                   3,            0.044539,            0.076101,                   0,             0.92381,             0.79962,             0.91423,             0.58497,            0.037868,            0.065943,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.041444,            0.071956,                   0,             0.92892,             0.82131,             0.92463,             0.61815,            0.035124,            0.062486,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.039678,            0.070521,                   0,             0.91899,             0.83689,             0.93057,             0.63159,            0.034456,             0.06105,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.03877,            0.068875,                   0,             0.93216,             0.84281,             0.93604,             0.63737,            0.033876,            0.059813,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.038054,            0.068043,                   0,             0.93889,             0.83898,             0.93904,             0.65473,            0.032889,            0.058216,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.037264,            0.066646,                   0,             0.93436,             0.84136,             0.94011,              0.6614,            0.032546,            0.057315,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.037001,            0.065315,                   0,              0.9339,             0.85084,             0.94023,             0.66598,            0.032174,            0.056857,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.036463,            0.065114,                   0,             0.93661,             0.85695,              0.9441,             0.67295,            0.031735,            0.055734,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036252,            0.064562,                   0,             0.93836,             0.85791,             0.94909,              0.6852,            0.031083,            0.054822,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.035851,            0.064105,                   0,             0.94291,             0.85694,             0.94972,             0.68967,            0.030882,            0.054353,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.035582,            0.063918,                   0,             0.94257,             0.85753,             0.94804,             0.68421,             0.03092,            0.054278,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.035449,            0.062844,                   0,              0.9452,             0.86424,             0.94955,             0.69277,            0.030452,            0.053929,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.035265,            0.063019,                   0,             0.94014,             0.87343,             0.95341,             0.70009,            0.030117,            0.053056,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.035021,            0.061859,                   0,             0.94597,              0.8644,              0.9539,             0.70135,            0.029715,             0.05255,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.034738,            0.062336,                   0,             0.94254,             0.87218,             0.95497,              0.7087,            0.029635,            0.052284,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.034607,            0.061614,                   0,             0.93978,             0.87475,             0.95672,             0.71472,             0.02942,            0.051732,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034427,            0.061844,                   0,             0.94307,             0.87308,             0.95652,              0.7147,            0.029252,            0.051367,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.03419,            0.061098,                   0,             0.94512,             0.87599,             0.95794,             0.71513,            0.029169,            0.051543,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.034193,            0.061089,                   0,             0.94732,              0.8731,             0.95729,             0.71966,            0.028883,            0.050872,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.034043,            0.061079,                   0,              0.9374,             0.88261,             0.95758,             0.71934,            0.028852,            0.050785,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.033885,            0.060465,                   0,             0.94824,             0.87978,             0.96003,              0.7281,             0.02837,             0.05002,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.033792,            0.059998,                   0,             0.94012,              0.8888,             0.96003,             0.72852,            0.028343,            0.049941,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.033597,            0.059848,                   0,             0.94381,              0.8858,             0.96045,             0.73156,            0.028212,            0.049612,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.033609,            0.059796,                   0,             0.94565,             0.89003,              0.9623,             0.73447,            0.028009,            0.049295,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.033492,             0.05956,                   0,              0.9473,             0.88744,             0.96187,             0.73671,            0.027819,            0.049108,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.033448,            0.060083,                   0,             0.94946,             0.88852,             0.96243,             0.73856,            0.027675,            0.048952,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033192,            0.059033,                   0,             0.94351,             0.89133,             0.96261,             0.74131,            0.027531,            0.048515,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.033211,            0.059312,                   0,             0.94631,               0.891,             0.96341,             0.74344,            0.027412,            0.048162,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03302,            0.058626,                   0,             0.94352,             0.89334,             0.96419,             0.74481,            0.027353,            0.048197,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.033012,            0.058571,                   0,             0.94337,             0.89483,             0.96423,             0.74607,            0.027173,            0.047864,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.032795,            0.058846,                   0,             0.94658,             0.89335,             0.96485,             0.74793,            0.027117,            0.047621,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.032906,            0.058996,                   0,             0.94762,             0.89432,             0.96476,             0.75114,             0.02709,            0.047479,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.032755,            0.058832,                   0,             0.94508,              0.8957,             0.96465,             0.75286,            0.027005,            0.047266,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.032838,            0.058875,                   0,             0.94765,              0.8964,             0.96493,             0.75213,            0.026898,            0.047152,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.032766,            0.058488,                   0,             0.94762,             0.89617,             0.96495,             0.75292,            0.026805,            0.047005,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.032639,            0.058521,                   0,             0.94979,             0.89532,             0.96542,             0.75448,            0.026709,            0.046764,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.032543,            0.057932,                   0,             0.94951,             0.89722,             0.96547,             0.75559,            0.026606,            0.046672,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.032418,            0.058022,                   0,             0.94773,             0.89793,             0.96666,             0.75499,            0.026551,            0.046661,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032311,            0.057707,                   0,             0.94711,             0.89848,              0.9661,             0.75708,            0.026486,            0.046519,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.03228,            0.058036,                   0,             0.94908,             0.89997,             0.96624,             0.75829,            0.026386,            0.046417,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032318,            0.057436,                   0,             0.94937,              0.8989,              0.9661,             0.75895,            0.026294,            0.046236,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.032085,            0.057104,                   0,             0.94888,             0.89914,             0.96627,             0.76055,            0.026213,            0.046024,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032208,            0.057075,                   0,             0.94821,             0.90076,             0.96646,             0.76149,            0.026141,            0.045964,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.032146,            0.057213,                   0,              0.9476,             0.90186,             0.96766,             0.76318,             0.02608,            0.045918,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.032051,             0.05703,                   0,             0.94791,             0.90227,             0.96766,             0.76417,            0.026027,            0.045785,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.031922,            0.057242,                   0,              0.9462,             0.90297,             0.96854,             0.76566,             0.02599,            0.045609,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032034,            0.056947,                   0,             0.94744,             0.90328,             0.96876,             0.76603,            0.025947,            0.045503,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.032043,            0.056918,                   0,             0.94829,             0.90249,             0.96777,             0.76631,             0.02591,            0.045399,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031817,            0.056966,                   0,             0.94958,             0.90184,              0.9682,              0.7668,            0.025871,            0.045342,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.031964,            0.056405,                   0,             0.94841,             0.90181,             0.96803,              0.7678,            0.025835,            0.045281,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031758,            0.056552,                   0,             0.94994,             0.90246,             0.96877,             0.76808,            0.025816,             0.04522,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.031653,             0.05649,                   0,             0.95002,             0.90214,             0.96818,             0.76842,            0.025781,            0.045164,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031669,            0.056401,                   0,             0.95013,             0.90243,             0.96833,             0.76938,            0.025732,            0.045096,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.031588,            0.056252,                   0,             0.95029,             0.90189,             0.96825,             0.76993,            0.025681,            0.045023,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.031657,            0.056533,                   0,             0.95153,             0.90226,             0.96897,             0.77046,            0.025648,            0.044966,                   0,            0.007228,            0.007228,            0.007228
