               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08348,             0.15341,            0.037999,              0.1089,             0.23754,             0.11662,            0.045791,             0.06185,             0.17543,            0.037532,            0.070037,           0.0033292,           0.0033292
                   1,            0.065332,             0.16061,            0.027094,             0.24068,             0.27021,             0.16738,            0.068301,            0.059177,             0.17846,            0.034075,            0.040004,           0.0066296,           0.0066296
                   2,            0.061196,             0.15645,            0.022887,             0.24799,             0.28697,             0.18747,            0.079604,            0.056871,             0.17976,            0.035739,           0.0099382,           0.0098969,           0.0098969
                   3,            0.057128,             0.15306,            0.019166,             0.32457,             0.28247,              0.2396,             0.10611,            0.054354,             0.18087,            0.032549,           0.0098515,           0.0098515,           0.0098515
                   4,            0.054152,             0.14863,            0.016433,             0.30723,             0.29401,             0.22575,            0.099735,             0.05478,             0.18833,            0.036331,           0.0098515,           0.0098515,           0.0098515
                   5,            0.052731,             0.14623,            0.014603,              0.2782,             0.28776,             0.22405,             0.10102,            0.055471,             0.19082,            0.037239,            0.009802,            0.009802,            0.009802
                   6,              0.0514,             0.14369,            0.013455,             0.28957,             0.27447,             0.22735,             0.10204,            0.055249,             0.19453,            0.038367,           0.0097525,           0.0097525,           0.0097525
                   7,            0.050749,             0.14295,            0.012662,             0.28493,              0.2736,             0.21198,            0.095589,            0.055577,             0.19187,            0.040535,            0.009703,            0.009703,            0.009703
                   8,            0.050204,              0.1416,            0.011982,             0.30107,              0.2627,             0.22178,            0.099758,            0.055982,             0.19559,            0.038749,           0.0096535,           0.0096535,           0.0096535
                   9,            0.049656,             0.13978,            0.011466,             0.28719,             0.28033,             0.21384,            0.094815,            0.055183,             0.19167,            0.040953,            0.009604,            0.009604,            0.009604
                  10,            0.049125,              0.1394,            0.010974,             0.27025,             0.28399,             0.21386,            0.094666,            0.055083,             0.18931,            0.041658,           0.0095545,           0.0095545,           0.0095545
                  11,            0.048875,             0.13836,            0.010651,             0.27754,             0.27636,             0.21077,            0.093855,             0.05494,             0.19465,            0.042691,            0.009505,            0.009505,            0.009505
                  12,            0.048495,             0.13756,            0.010353,              0.2938,             0.28389,             0.21551,            0.093756,            0.054852,             0.19703,            0.042729,           0.0094555,           0.0094555,           0.0094555
                  13,            0.048112,             0.13716,            0.010097,             0.29373,             0.27752,             0.21784,            0.096528,            0.055009,             0.19596,            0.040028,            0.009406,            0.009406,            0.009406
                  14,            0.047989,             0.13693,           0.0098515,             0.31173,             0.26402,             0.21645,            0.098644,            0.055174,              0.1918,            0.043175,           0.0093565,           0.0093565,           0.0093565
                  15,            0.047663,             0.13668,           0.0097111,             0.27184,             0.27424,             0.21014,             0.09547,            0.054922,             0.19514,            0.041598,            0.009307,            0.009307,            0.009307
                  16,            0.047463,             0.13546,           0.0094849,             0.28019,             0.25563,             0.20641,            0.093496,            0.055646,             0.19574,            0.043911,           0.0092575,           0.0092575,           0.0092575
                  17,            0.047218,             0.13565,           0.0093395,             0.26901,             0.24847,             0.19524,            0.088021,             0.05554,             0.19972,            0.044118,            0.009208,            0.009208,            0.009208
                  18,            0.047169,             0.13534,           0.0092866,             0.27439,             0.24707,             0.19824,            0.091144,            0.055269,             0.19628,             0.04395,           0.0091585,           0.0091585,           0.0091585
                  19,            0.047073,             0.13545,           0.0091279,             0.27685,             0.25255,             0.20159,            0.089895,            0.055464,              0.1954,            0.045478,            0.009109,            0.009109,            0.009109
                  20,            0.046881,             0.13427,           0.0090241,              0.2711,             0.25257,             0.20029,            0.091115,             0.05547,             0.19606,            0.044143,           0.0090595,           0.0090595,           0.0090595
                  21,            0.046672,             0.13438,           0.0089784,             0.27252,             0.24878,             0.19499,            0.088204,            0.055633,               0.197,            0.045476,             0.00901,             0.00901,             0.00901
                  22,             0.04658,             0.13342,           0.0088549,             0.26291,             0.24992,             0.19505,            0.088586,            0.055294,             0.20091,            0.044448,           0.0089605,           0.0089605,           0.0089605
                  23,            0.046394,             0.13367,           0.0087223,             0.25508,             0.25183,             0.19283,            0.087603,            0.055303,             0.19799,            0.045506,            0.008911,            0.008911,            0.008911
                  24,            0.046433,             0.13378,           0.0087291,              0.2621,             0.24846,             0.19486,            0.088151,            0.055492,             0.19906,            0.045462,           0.0088615,           0.0088615,           0.0088615
                  25,            0.046404,             0.13404,            0.008657,             0.26477,             0.24584,             0.19616,            0.088742,            0.055372,             0.19844,            0.045132,            0.008812,            0.008812,            0.008812
                  26,            0.046157,             0.13226,           0.0085107,             0.27051,             0.24652,             0.19666,            0.088963,            0.055246,             0.19881,            0.046091,           0.0087625,           0.0087625,           0.0087625
                  27,            0.046017,             0.13238,           0.0084892,             0.27151,             0.24596,             0.19577,            0.089279,            0.055254,             0.19905,            0.045619,            0.008713,            0.008713,            0.008713
                  28,            0.045961,             0.13233,           0.0084675,             0.26706,             0.25174,             0.19531,            0.088398,            0.055293,             0.19881,            0.045496,           0.0086635,           0.0086635,           0.0086635
                  29,            0.045886,             0.13254,           0.0083836,             0.27146,              0.2476,             0.19628,            0.089058,             0.05525,             0.19952,            0.045809,            0.008614,            0.008614,            0.008614
                  30,            0.045843,             0.13133,           0.0083719,             0.27076,             0.24548,             0.19498,            0.089137,            0.055366,             0.19956,            0.045583,           0.0085645,           0.0085645,           0.0085645
                  31,            0.045663,             0.13204,           0.0083187,             0.27271,              0.2447,             0.19553,            0.089452,            0.055416,             0.20087,            0.045507,            0.008515,            0.008515,            0.008515
                  32,            0.045735,             0.13131,           0.0082629,             0.27444,             0.24271,             0.19535,            0.089532,            0.055457,             0.20137,            0.045229,           0.0084655,           0.0084655,           0.0084655
                  33,            0.045459,             0.13112,           0.0081975,             0.27114,              0.2458,             0.19635,            0.089821,            0.055435,             0.20161,            0.045128,            0.008416,            0.008416,            0.008416
                  34,            0.045551,             0.13149,           0.0081915,             0.26856,             0.24962,             0.19682,            0.089827,            0.055381,             0.20206,            0.045167,           0.0083665,           0.0083665,           0.0083665
                  35,            0.045495,             0.13082,           0.0081114,             0.26456,             0.25046,             0.19646,             0.08946,            0.055341,             0.20239,            0.045416,            0.008317,            0.008317,            0.008317
                  36,            0.045408,             0.13088,           0.0080977,             0.26977,             0.24601,             0.19657,            0.089384,            0.055322,             0.20226,            0.045673,           0.0082675,           0.0082675,           0.0082675
                  37,            0.045375,             0.13056,           0.0080773,             0.26445,              0.2486,             0.19594,             0.08908,            0.055302,             0.20263,            0.045611,            0.008218,            0.008218,            0.008218
                  38,            0.045254,             0.13119,           0.0080222,             0.27261,             0.24514,             0.19698,            0.089709,            0.055288,             0.20294,            0.045722,           0.0081685,           0.0081685,           0.0081685
                  39,            0.045292,             0.13099,           0.0080204,             0.27157,             0.24557,             0.19691,            0.089845,            0.055282,             0.20319,             0.04577,            0.008119,            0.008119,            0.008119
                  40,             0.04504,             0.13085,           0.0079445,             0.27101,              0.2451,             0.19638,            0.089685,            0.055275,             0.20351,              0.0459,           0.0080695,           0.0080695,           0.0080695
                  41,            0.045057,             0.13008,           0.0079369,             0.27244,             0.24264,             0.19574,            0.089358,            0.055266,             0.20376,            0.046148,             0.00802,             0.00802,             0.00802
