               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083857,             0.15269,            0.022456,             0.63518,             0.17266,              0.2039,            0.078886,            0.063066,              0.1752,            0.016937,            0.070037,           0.0033292,           0.0033292
                   1,            0.065125,             0.16041,            0.013505,             0.41924,             0.30102,              0.2595,             0.10922,             0.05741,             0.18062,            0.014374,            0.040004,           0.0066296,           0.0066296
                   2,            0.060743,             0.15597,            0.011403,             0.31477,             0.34468,             0.29054,             0.12487,            0.056173,             0.17911,            0.013358,           0.0099382,           0.0098969,           0.0098969
                   3,            0.056459,             0.15277,           0.0095124,             0.57521,             0.33998,             0.34406,             0.14729,            0.054526,             0.18095,            0.012405,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053394,              0.1482,           0.0082965,             0.38407,             0.39541,             0.34169,             0.14667,            0.054388,             0.18254,            0.012697,           0.0098515,           0.0098515,           0.0098515
                   5,             0.05192,             0.14555,           0.0075262,             0.44285,             0.36617,              0.3381,              0.1473,            0.055478,             0.19302,            0.013298,            0.009802,            0.009802,            0.009802
                   6,            0.050752,              0.1431,           0.0070517,             0.40368,             0.35275,              0.3208,             0.14057,            0.054966,             0.19345,              0.0132,           0.0097525,           0.0097525,           0.0097525
                   7,            0.050042,             0.14234,           0.0066701,             0.38185,             0.35938,             0.32517,             0.14425,            0.054379,             0.19579,            0.014023,            0.009703,            0.009703,            0.009703
                   8,            0.049547,             0.14103,           0.0063759,             0.38168,             0.36476,             0.32114,             0.14297,             0.05559,             0.19313,             0.01367,           0.0096535,           0.0096535,           0.0096535
                   9,            0.049035,             0.13923,           0.0061448,             0.41683,             0.34493,             0.32629,             0.14563,            0.054645,             0.18811,            0.013994,            0.009604,            0.009604,            0.009604
                  10,            0.048584,             0.13892,           0.0059092,             0.40412,              0.3308,             0.31516,             0.14056,            0.054642,             0.18942,            0.014539,           0.0095545,           0.0095545,           0.0095545
                  11,            0.048317,             0.13783,           0.0057903,             0.41242,             0.37087,             0.33564,             0.14857,            0.054437,             0.19235,            0.014136,            0.009505,            0.009505,            0.009505
                  12,            0.047922,             0.13704,           0.0056648,             0.39388,              0.3467,             0.32004,             0.14296,            0.055241,             0.19343,            0.014243,           0.0094555,           0.0094555,           0.0094555
                  13,            0.047567,             0.13663,            0.005546,             0.41213,             0.35237,             0.32465,             0.14533,             0.05489,             0.19685,            0.014666,            0.009406,            0.009406,            0.009406
                  14,            0.047427,             0.13637,           0.0054458,             0.40802,             0.36007,             0.32602,             0.14425,            0.055378,             0.19389,            0.014948,           0.0093565,           0.0093565,           0.0093565
                  15,            0.047116,             0.13604,           0.0053995,             0.40151,             0.35387,             0.32357,             0.14384,            0.054845,             0.19529,             0.01458,            0.009307,            0.009307,            0.009307
                  16,            0.046967,             0.13489,           0.0053103,             0.39417,             0.36008,             0.31676,             0.14229,            0.054963,             0.19736,            0.015037,           0.0092575,           0.0092575,           0.0092575
                  17,            0.046713,             0.13507,           0.0052393,             0.40112,             0.35233,             0.32077,              0.1427,            0.055255,             0.19894,            0.014961,            0.009208,            0.009208,            0.009208
                  18,            0.046692,             0.13472,           0.0052419,             0.38994,             0.34916,             0.31033,             0.13883,            0.055159,              0.1955,            0.015489,           0.0091585,           0.0091585,           0.0091585
                  19,            0.046597,             0.13483,           0.0051501,             0.39058,             0.33796,             0.30493,             0.13626,            0.055564,             0.19906,            0.015406,            0.009109,            0.009109,            0.009109
                  20,            0.046336,              0.1336,           0.0050979,             0.39417,             0.34289,             0.31122,             0.14012,            0.054987,             0.20021,            0.015162,           0.0090595,           0.0090595,           0.0090595
                  21,            0.046194,             0.13373,           0.0050854,             0.37608,             0.34722,             0.31123,             0.13898,            0.055214,             0.19689,            0.015172,             0.00901,             0.00901,             0.00901
                  22,            0.046072,             0.13278,           0.0050131,             0.38442,             0.33025,             0.30527,             0.13744,            0.055001,             0.19939,            0.015551,           0.0089605,           0.0089605,           0.0089605
                  23,            0.045905,             0.13302,           0.0049823,             0.39349,             0.32324,             0.30413,             0.13796,            0.054893,             0.19838,            0.016058,            0.008911,            0.008911,            0.008911
                  24,            0.045933,             0.13314,           0.0049826,             0.37626,             0.34064,             0.30428,              0.1372,            0.054948,              0.1973,            0.015621,           0.0088615,           0.0088615,           0.0088615
                  25,            0.045922,             0.13348,           0.0049358,             0.37755,             0.33971,             0.30451,             0.13743,            0.055086,             0.19857,            0.015864,            0.008812,            0.008812,            0.008812
                  26,            0.045703,             0.13166,            0.004866,             0.38083,              0.3351,             0.30461,             0.13763,            0.054909,             0.19822,            0.015821,           0.0087625,           0.0087625,           0.0087625
                  27,            0.045541,             0.13171,            0.004862,              0.3904,             0.33311,             0.30585,             0.13792,            0.054973,             0.19927,            0.015712,            0.008713,            0.008713,            0.008713
                  28,            0.045472,             0.13168,            0.004849,             0.38619,             0.33271,             0.30376,             0.13652,            0.055277,                 0.2,            0.015744,           0.0086635,           0.0086635,           0.0086635
