               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067679,             0.09017,                   0,             0.89984,             0.73591,             0.84797,             0.42535,            0.046205,            0.075647,                   0,            0.070056,           0.0033271,           0.0033271
                   1,            0.050275,            0.078367,                   0,             0.92613,             0.79605,             0.90146,             0.50073,            0.041338,            0.068158,                   0,            0.040023,           0.0066274,           0.0066274
                   2,            0.045347,            0.074513,                   0,             0.93479,             0.83703,             0.92789,             0.59245,             0.03641,            0.064501,                   0,           0.0099575,           0.0098948,           0.0098948
                   3,            0.040756,            0.069557,                   0,             0.93807,             0.85256,             0.94485,             0.65329,             0.03334,            0.059287,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.037459,            0.065153,                   0,             0.94584,             0.87364,             0.95343,             0.66725,            0.031776,            0.057715,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.035756,            0.063534,                   0,             0.94662,             0.87789,             0.95723,             0.69709,            0.030249,            0.054547,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.034742,            0.061664,                   0,             0.94595,             0.88246,             0.95957,             0.70907,            0.029593,            0.052829,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033917,            0.060648,                   0,             0.94375,              0.8862,             0.96149,             0.72148,            0.028925,            0.051662,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.033236,            0.059347,                   0,             0.94275,             0.89559,             0.96406,             0.72597,              0.0286,            0.051053,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.03282,            0.057937,                   0,             0.94937,             0.89311,             0.96408,             0.73541,             0.02806,            0.049839,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.032292,            0.057634,                   0,             0.95291,             0.89444,             0.96724,              0.7431,            0.027241,            0.049018,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.032093,            0.057109,                   0,             0.95586,             0.90133,             0.97073,             0.75307,            0.027244,            0.048584,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.031716,             0.05658,                   0,             0.95825,             0.90538,             0.97056,             0.75533,            0.026779,            0.047927,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.031453,            0.056319,                   0,             0.95429,              0.9043,             0.97117,             0.76102,            0.026622,            0.047112,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.031229,             0.05526,                   0,               0.954,             0.90697,             0.97171,              0.7626,             0.02627,            0.046901,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.031064,            0.055405,                   0,             0.95634,             0.90931,             0.97283,             0.77104,            0.025931,            0.046196,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.030788,            0.054307,                   0,             0.95566,             0.90964,             0.97307,             0.77387,            0.025685,            0.045651,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.030607,            0.054604,                   0,             0.96066,              0.9139,             0.97374,             0.77693,            0.025523,            0.044922,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.030366,            0.053831,                   0,             0.95741,             0.91257,             0.97442,             0.77882,            0.025304,            0.044702,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.030293,            0.054111,                   0,             0.95937,             0.91651,             0.97623,             0.78628,            0.025006,              0.0442,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.030004,            0.053321,                   0,             0.95937,              0.9153,             0.97548,             0.78613,            0.024926,            0.043988,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.029938,            0.053321,                   0,              0.9562,              0.9188,             0.97563,             0.79223,            0.024756,            0.043647,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.029817,            0.053273,                   0,             0.96406,             0.91426,             0.97506,             0.79355,            0.024566,            0.043274,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.029606,            0.052547,                   0,             0.96339,              0.9198,             0.97668,             0.79878,            0.024174,            0.042717,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.029612,            0.052224,                   0,             0.95999,             0.92113,             0.97741,             0.79998,            0.024102,            0.042575,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.029386,            0.051999,                   0,             0.96068,             0.92325,             0.97725,             0.80264,            0.024004,            0.042077,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.029407,            0.051963,                   0,             0.96243,              0.9233,             0.97839,             0.80893,            0.023748,             0.04154,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029207,            0.051584,                   0,             0.95962,             0.92567,             0.97799,             0.80937,            0.023683,            0.041411,                   0,            0.008713,            0.008713,            0.008713
                  28,              0.0292,            0.052018,                   0,             0.95989,              0.9259,             0.97866,             0.81139,            0.023477,            0.041162,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.028987,             0.05116,                   0,              0.9611,             0.92454,             0.97853,             0.81362,            0.023314,            0.040769,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.028913,            0.051241,                   0,              0.9595,             0.92768,             0.97896,             0.81544,            0.023205,            0.040619,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.028715,            0.050605,                   0,             0.95829,             0.92726,             0.97888,             0.81716,            0.023045,            0.040454,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.028739,            0.050489,                   0,             0.96409,             0.92856,             0.97961,             0.81877,            0.022992,            0.040225,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.028586,            0.050834,                   0,             0.96192,             0.93054,             0.97977,             0.82115,            0.022889,            0.039983,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.028619,            0.050877,                   0,             0.96438,             0.93081,             0.98028,             0.82427,            0.022747,            0.039711,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.02852,            0.050718,                   0,             0.96665,             0.92872,             0.98053,             0.82469,            0.022635,            0.039584,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.028459,            0.050588,                   0,             0.96331,             0.93162,             0.98071,             0.82789,            0.022548,             0.03911,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.028527,            0.050363,                   0,             0.96379,             0.93066,             0.98064,             0.82758,            0.022407,            0.039019,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.028355,            0.050284,                   0,             0.96471,             0.92896,              0.9807,             0.82998,            0.022345,            0.038847,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028248,            0.049752,                   0,             0.96179,             0.93166,             0.98082,             0.83054,             0.02225,             0.03867,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.028123,            0.049837,                   0,             0.96495,             0.92722,             0.98106,             0.83212,            0.022116,            0.038469,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,             0.02794,             0.04937,                   0,             0.96405,             0.92978,             0.98137,             0.83504,            0.022049,            0.038208,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.02807,            0.049866,                   0,             0.96424,             0.93263,             0.98177,             0.83557,            0.021986,            0.038086,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027964,            0.049086,                   0,             0.96497,             0.93386,             0.98184,             0.83711,            0.021902,            0.037832,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.027793,            0.048879,                   0,             0.96573,             0.93477,             0.98229,             0.83906,            0.021845,            0.037682,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027794,            0.048741,                   0,             0.96676,             0.93426,              0.9822,             0.84023,             0.02174,            0.037641,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.027817,            0.048911,                   0,             0.96543,             0.93507,             0.98228,             0.84119,            0.021671,            0.037544,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027689,             0.04863,                   0,             0.96691,             0.93512,             0.98232,             0.84208,            0.021617,            0.037425,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.027606,            0.048944,                   0,             0.96767,              0.9344,             0.98257,             0.84342,            0.021562,            0.037259,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.027634,            0.048532,                   0,             0.96779,             0.93355,             0.98248,             0.84348,            0.021519,            0.037127,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.02768,             0.04854,                   0,             0.96781,             0.93309,             0.98248,             0.84447,             0.02147,            0.036998,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.027481,            0.048509,                   0,             0.96803,             0.93372,             0.98263,             0.84531,            0.021421,            0.036904,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.027623,            0.048058,                   0,             0.96905,               0.934,             0.98286,             0.84624,            0.021363,            0.036801,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.027406,            0.048133,                   0,             0.96974,             0.93352,             0.98312,             0.84681,            0.021311,             0.03671,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.027277,            0.048062,                   0,              0.9691,             0.93455,             0.98314,              0.8474,            0.021278,            0.036618,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027258,            0.047884,                   0,             0.96925,             0.93473,             0.98329,             0.84851,             0.02123,            0.036536,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.027298,            0.047875,                   0,             0.96941,             0.93482,             0.98344,             0.84904,            0.021193,            0.036465,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.027212,            0.047835,                   0,             0.96993,             0.93482,             0.98346,             0.84945,            0.021149,             0.03638,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.027202,            0.047837,                   0,             0.96933,             0.93477,             0.98343,             0.84996,            0.021108,            0.036305,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02714,             0.04742,                   0,             0.96894,             0.93547,             0.98354,             0.85028,            0.021077,            0.036258,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.027112,            0.047624,                   0,             0.96894,             0.93558,             0.98358,             0.85087,            0.021042,            0.036192,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.026969,            0.047392,                   0,             0.96923,             0.93539,             0.98357,             0.85139,             0.02101,            0.036127,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.027001,            0.047424,                   0,             0.96879,             0.93592,             0.98363,             0.85205,             0.02098,            0.036074,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.026999,            0.047399,                   0,               0.969,             0.93572,             0.98359,             0.85231,             0.02095,            0.036013,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.026819,            0.047112,                   0,             0.96858,             0.93607,             0.98357,             0.85301,            0.020923,            0.035959,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026806,            0.047057,                   0,              0.9682,             0.93604,             0.98353,             0.85339,            0.020895,            0.035895,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.026824,            0.047005,                   0,             0.96927,               0.935,             0.98351,              0.8537,            0.020872,            0.035853,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026936,            0.046897,                   0,             0.97016,             0.93526,             0.98349,              0.8539,            0.020849,            0.035802,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.026726,            0.046848,                   0,             0.96999,             0.93548,             0.98361,             0.85472,            0.020824,            0.035753,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.026709,            0.046503,                   0,             0.97032,             0.93568,              0.9837,             0.85518,            0.020802,            0.035709,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.026639,            0.046597,                   0,             0.97019,             0.93592,             0.98364,             0.85554,            0.020779,            0.035662,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026638,            0.046712,                   0,             0.96982,             0.93592,             0.98361,             0.85587,            0.020759,             0.03562,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.026552,            0.046588,                   0,             0.97087,              0.9351,              0.9836,             0.85624,            0.020739,            0.035579,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026527,            0.046319,                   0,             0.96996,             0.93613,             0.98367,              0.8564,            0.020719,            0.035538,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.026575,            0.046278,                   0,              0.9703,             0.93628,             0.98369,             0.85668,            0.020699,            0.035497,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.026416,            0.046322,                   0,              0.9704,             0.93635,             0.98378,             0.85691,            0.020678,            0.035457,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.026325,            0.046032,                   0,             0.97033,             0.93694,             0.98393,              0.8573,            0.020658,            0.035419,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026358,            0.046144,                   0,             0.97096,              0.9365,               0.984,             0.85777,             0.02064,            0.035383,                   0,            0.006238,            0.006238,            0.006238
                  78,             0.02643,            0.046157,                   0,             0.97102,             0.93655,             0.98407,             0.85806,            0.020619,            0.035348,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.026256,            0.046073,                   0,             0.97104,             0.93643,              0.9841,             0.85819,              0.0206,            0.035309,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.026184,            0.045806,                   0,             0.97101,             0.93668,             0.98418,             0.85879,            0.020582,            0.035274,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.026202,            0.045477,                   0,             0.97078,             0.93707,             0.98419,               0.859,            0.020564,            0.035235,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.026225,            0.045519,                   0,             0.97111,             0.93685,             0.98424,              0.8593,            0.020545,            0.035194,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.026355,            0.045866,                   0,             0.97154,             0.93701,             0.98436,             0.85966,            0.020525,            0.035153,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.026102,            0.045599,                   0,             0.97141,             0.93753,             0.98437,              0.8599,            0.020506,            0.035118,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.026168,            0.045642,                   0,             0.97151,             0.93719,             0.98444,             0.86009,            0.020488,            0.035079,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.026126,            0.045617,                   0,             0.97163,             0.93749,             0.98452,              0.8605,            0.020468,            0.035038,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.026066,            0.045412,                   0,             0.97118,             0.93774,             0.98454,             0.86079,            0.020451,               0.035,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.026039,            0.045294,                   0,             0.97124,             0.93817,             0.98458,             0.86101,            0.020433,            0.034962,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02596,            0.045236,                   0,             0.97139,             0.93813,             0.98464,             0.86155,            0.020413,             0.03492,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.025831,            0.045022,                   0,              0.9716,             0.93824,             0.98469,             0.86181,            0.020392,            0.034875,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025797,            0.045072,                   0,             0.97196,             0.93832,              0.9847,             0.86194,            0.020375,            0.034833,                   0,            0.005545,            0.005545,            0.005545
