               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07904,             0.15311,            0.037059,              0.2309,             0.24214,             0.14661,            0.062752,            0.057488,             0.17099,            0.036528,            0.070037,           0.0033292,           0.0033292
                   1,             0.06079,              0.1526,            0.024291,             0.24624,             0.31033,             0.20428,             0.09251,            0.054575,              0.1756,            0.034463,            0.040004,           0.0066296,           0.0066296
                   2,            0.056433,             0.14739,            0.018852,             0.26176,             0.33391,             0.23416,             0.10657,            0.053317,             0.18157,            0.033649,           0.0099382,           0.0098969,           0.0098969
                   3,            0.052507,             0.14322,            0.014234,             0.29991,             0.32278,             0.25139,             0.11541,            0.053187,             0.18302,            0.031047,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049499,             0.13817,            0.011381,             0.36122,             0.28223,             0.25658,             0.11985,            0.053352,             0.18837,            0.036794,           0.0098515,           0.0098515,           0.0098515
                   5,            0.047795,             0.13508,           0.0097985,             0.34728,             0.30122,             0.25896,              0.1184,            0.053703,             0.19333,            0.039769,            0.009802,            0.009802,            0.009802
                   6,            0.046438,             0.13224,           0.0089149,             0.33833,             0.27546,             0.24151,             0.11249,            0.053287,             0.19394,            0.041926,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04571,             0.13121,           0.0084076,             0.37225,              0.2809,             0.24826,             0.11645,              0.0533,             0.19802,            0.043858,            0.009703,            0.009703,            0.009703
                   8,            0.045038,             0.12957,           0.0079936,             0.35868,             0.26935,             0.24402,             0.11524,             0.05232,             0.19566,            0.042975,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044477,             0.12763,           0.0076319,             0.34371,             0.28797,             0.24071,             0.11391,            0.052564,              0.1989,            0.044829,            0.009604,            0.009604,            0.009604
                  10,             0.04401,             0.12724,           0.0073291,             0.36549,             0.27927,             0.25012,             0.11842,            0.052168,             0.19966,            0.044431,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043738,             0.12609,           0.0071607,             0.37848,              0.2886,             0.25668,             0.12238,            0.052567,             0.20803,            0.040957,            0.009505,            0.009505,            0.009505
                  12,            0.043347,             0.12524,            0.006975,             0.34494,             0.29125,             0.24496,             0.11652,            0.052395,              0.2064,            0.046417,           0.0094555,           0.0094555,           0.0094555
                  13,            0.042983,             0.12476,           0.0067927,              0.3412,              0.2893,             0.24522,             0.11562,            0.052057,              0.1988,            0.046357,            0.009406,            0.009406,            0.009406
                  14,            0.042837,             0.12452,           0.0066872,             0.34365,             0.26675,             0.23864,             0.11383,            0.052618,             0.20553,             0.04438,           0.0093565,           0.0093565,           0.0093565
                  15,            0.042515,              0.1242,           0.0065782,             0.32716,             0.27442,              0.2357,             0.11102,            0.052759,             0.20443,             0.04761,            0.009307,            0.009307,            0.009307
                  16,            0.042339,             0.12298,           0.0064268,             0.34231,             0.29597,             0.24754,             0.11874,            0.052568,             0.20344,            0.043549,           0.0092575,           0.0092575,           0.0092575
                  17,            0.042055,             0.12296,           0.0063615,             0.36381,             0.28511,             0.23845,             0.11338,            0.052783,             0.20039,            0.048725,            0.009208,            0.009208,            0.009208
                  18,            0.042019,             0.12262,           0.0063143,             0.35803,             0.27324,              0.2345,             0.11286,            0.052844,             0.20156,             0.05019,           0.0091585,           0.0091585,           0.0091585
                  19,            0.041938,             0.12264,           0.0062198,             0.34838,             0.26717,             0.22698,             0.10834,            0.052724,             0.20857,             0.04926,            0.009109,            0.009109,            0.009109
                  20,            0.041675,             0.12137,           0.0061565,             0.36107,             0.27801,             0.23419,             0.11243,            0.052962,              0.2087,            0.048422,           0.0090595,           0.0090595,           0.0090595
                  21,            0.041475,             0.12139,           0.0061221,             0.37307,             0.27461,             0.23526,             0.11267,            0.052814,             0.20458,            0.049206,             0.00901,             0.00901,             0.00901
                  22,            0.041382,             0.12053,           0.0060654,              0.3601,             0.27527,             0.23601,             0.11353,            0.052589,             0.20737,            0.048398,           0.0089605,           0.0089605,           0.0089605
                  23,            0.041237,              0.1206,           0.0059836,             0.34349,             0.27995,             0.23198,             0.11033,            0.052694,             0.21048,            0.048772,            0.008911,            0.008911,            0.008911
                  24,            0.041261,             0.12074,           0.0059832,             0.33836,             0.26816,              0.2291,             0.10856,            0.052674,             0.20693,            0.049099,           0.0088615,           0.0088615,           0.0088615
                  25,            0.041154,             0.12082,           0.0059316,             0.34133,             0.25361,             0.22826,             0.10781,            0.052489,             0.20773,             0.04882,            0.008812,            0.008812,            0.008812
                  26,             0.04102,             0.11927,            0.005862,             0.32489,              0.2716,             0.22394,             0.10625,            0.052722,             0.20825,            0.050105,           0.0087625,           0.0087625,           0.0087625
                  27,            0.040732,             0.11914,           0.0058162,             0.33758,              0.2642,             0.22674,             0.10795,            0.052678,             0.20895,            0.049626,            0.008713,            0.008713,            0.008713
                  28,            0.040768,             0.11913,           0.0058091,             0.34973,             0.26406,             0.23109,             0.10914,            0.052627,             0.20964,            0.049464,           0.0086635,           0.0086635,           0.0086635
                  29,            0.040679,             0.11926,           0.0057669,             0.35575,             0.26179,             0.23373,             0.11027,            0.052588,              0.2108,            0.049885,            0.008614,            0.008614,            0.008614
                  30,            0.040592,             0.11799,            0.005745,             0.35224,             0.25699,             0.22923,             0.10779,            0.052548,             0.21108,            0.050101,           0.0085645,           0.0085645,           0.0085645
                  31,            0.040395,             0.11866,            0.005714,             0.34353,             0.26122,             0.22978,             0.10832,            0.052538,             0.21161,            0.049891,            0.008515,            0.008515,            0.008515
                  32,            0.040421,             0.11792,           0.0056885,             0.33093,             0.27055,             0.23133,             0.10906,            0.052492,             0.21095,            0.050202,           0.0084655,           0.0084655,           0.0084655
                  33,            0.040181,             0.11764,           0.0056117,             0.33182,             0.26835,             0.23081,             0.10908,            0.052566,             0.21127,            0.050955,            0.008416,            0.008416,            0.008416
                  34,            0.040222,             0.11795,           0.0056286,             0.33147,             0.27406,             0.23062,             0.10864,            0.052697,             0.21146,            0.051297,           0.0083665,           0.0083665,           0.0083665
                  35,            0.040164,             0.11725,           0.0056002,             0.32837,             0.27585,             0.23094,             0.10863,            0.052669,             0.21133,            0.051101,            0.008317,            0.008317,            0.008317
