               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078624,             0.15445,            0.020528,             0.44673,             0.26161,             0.25737,             0.10856,            0.057077,              0.1693,            0.015343,            0.070037,           0.0033292,           0.0033292
                   1,            0.060382,              0.1527,            0.011459,             0.33646,             0.38879,             0.33392,             0.14673,            0.053899,             0.17599,            0.013463,            0.040004,           0.0066296,           0.0066296
                   2,            0.055737,             0.14718,           0.0091742,             0.39544,             0.42813,             0.36832,             0.15922,            0.053933,             0.18184,             0.01316,           0.0099382,           0.0098969,           0.0098969
                   3,            0.051465,             0.14269,           0.0075017,             0.39829,             0.41388,             0.37592,             0.16582,            0.053139,             0.18455,            0.012834,           0.0098515,           0.0098515,           0.0098515
                   4,            0.048461,             0.13738,           0.0062249,              0.4608,             0.36125,             0.36474,             0.16667,            0.052896,             0.18627,            0.014129,           0.0098515,           0.0098515,           0.0098515
                   5,            0.046882,             0.13444,           0.0054953,             0.48074,             0.40016,             0.38531,             0.17382,            0.052667,             0.18813,            0.012808,            0.009802,            0.009802,            0.009802
                   6,            0.045685,             0.13177,            0.005104,             0.45974,             0.38797,             0.37479,             0.16849,            0.052739,             0.19372,             0.01395,           0.0097525,           0.0097525,           0.0097525
                   7,            0.044958,             0.13066,           0.0048643,             0.46701,             0.39672,             0.38589,             0.17289,            0.052924,             0.19349,            0.014861,            0.009703,            0.009703,            0.009703
                   8,             0.04436,             0.12907,           0.0046706,             0.47264,             0.39185,             0.37717,             0.17207,            0.051751,             0.19508,            0.014901,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043865,             0.12723,           0.0045018,             0.43551,             0.35537,             0.34547,              0.1593,            0.052112,             0.19529,            0.016074,            0.009604,            0.009604,            0.009604
                  10,            0.043416,             0.12683,           0.0043352,             0.44782,             0.36473,             0.34802,              0.1601,            0.051906,             0.19567,            0.015752,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043154,             0.12565,           0.0042659,             0.45515,             0.37251,             0.35553,             0.16514,            0.052426,             0.19932,            0.016466,            0.009505,            0.009505,            0.009505
                  12,             0.04278,             0.12485,           0.0041812,             0.45378,             0.39655,             0.36738,             0.16765,             0.05241,             0.19881,            0.015396,           0.0094555,           0.0094555,           0.0094555
                  13,            0.042412,             0.12435,           0.0041088,             0.45559,              0.3796,             0.36455,             0.16726,            0.052525,             0.19687,            0.015259,            0.009406,            0.009406,            0.009406
                  14,            0.042282,              0.1241,           0.0040135,             0.46584,             0.38613,             0.36815,             0.16868,            0.052391,             0.20217,            0.016106,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041956,             0.12373,           0.0039813,             0.48677,             0.37609,             0.36357,             0.16596,            0.053115,             0.20668,            0.016203,            0.009307,            0.009307,            0.009307
                  16,            0.041794,             0.12255,           0.0039101,             0.49914,             0.35855,             0.35671,             0.16508,            0.052595,             0.19995,            0.016604,           0.0092575,           0.0092575,           0.0092575
                  17,            0.041567,             0.12258,           0.0038756,             0.47433,             0.37137,             0.36193,             0.16708,            0.052749,             0.20561,            0.015888,            0.009208,            0.009208,            0.009208
                  18,            0.041505,              0.1222,           0.0038638,             0.45796,             0.39446,             0.37002,             0.17001,            0.052735,             0.20585,            0.016091,           0.0091585,           0.0091585,           0.0091585
                  19,            0.041402,             0.12225,           0.0037972,             0.47399,              0.3516,             0.35041,              0.1616,            0.052917,             0.20844,            0.016379,            0.009109,            0.009109,            0.009109
                  20,            0.041178,             0.12098,           0.0037728,               0.469,             0.36493,             0.35633,             0.16337,            0.052882,             0.20698,            0.016136,           0.0090595,           0.0090595,           0.0090595
                  21,            0.040971,             0.12099,           0.0037574,             0.46325,             0.36876,             0.35325,             0.16216,             0.05286,             0.20616,            0.016849,             0.00901,             0.00901,             0.00901
                  22,            0.040884,             0.12006,           0.0037233,             0.45617,             0.36588,             0.35001,             0.16346,            0.052623,             0.20749,            0.016649,           0.0089605,           0.0089605,           0.0089605
                  23,            0.040729,             0.12019,           0.0036922,             0.45732,             0.37412,              0.3546,             0.16478,            0.052583,              0.2095,            0.016347,            0.008911,            0.008911,            0.008911
                  24,            0.040744,             0.12033,            0.003704,             0.46793,             0.37742,             0.35748,             0.16354,            0.052788,             0.20656,            0.016489,           0.0088615,           0.0088615,           0.0088615
                  25,            0.040672,             0.12042,            0.003659,             0.45544,             0.35845,             0.34823,             0.16189,            0.052618,             0.20654,            0.016847,            0.008812,            0.008812,            0.008812
                  26,            0.040482,             0.11887,            0.003619,             0.46157,             0.36778,             0.35294,             0.16414,            0.052505,             0.20785,             0.01684,           0.0087625,           0.0087625,           0.0087625
                  27,            0.040284,             0.11872,           0.0036053,             0.46901,             0.35944,              0.3507,              0.1627,            0.052603,             0.20673,            0.016899,            0.008713,            0.008713,            0.008713
                  28,            0.040234,             0.11862,            0.003591,             0.46604,             0.36022,             0.34966,             0.16207,            0.052621,             0.20787,            0.016558,           0.0086635,           0.0086635,           0.0086635
                  29,            0.040188,             0.11885,           0.0035771,             0.48908,             0.34388,             0.34609,             0.15995,            0.052601,             0.20827,            0.016866,            0.008614,            0.008614,            0.008614
                  30,            0.040115,             0.11764,           0.0035704,             0.47705,             0.34409,             0.34404,             0.15948,            0.052609,             0.20877,            0.016995,           0.0085645,           0.0085645,           0.0085645
                  31,            0.039933,             0.11825,           0.0035517,             0.46518,             0.35755,             0.34734,             0.16059,            0.052486,             0.20892,            0.016852,            0.008515,            0.008515,            0.008515
                  32,            0.039963,             0.11749,           0.0035407,              0.4565,             0.36219,             0.34684,             0.16051,            0.052475,             0.20988,             0.01691,           0.0084655,           0.0084655,           0.0084655
                  33,            0.039709,             0.11722,            0.003506,             0.46517,             0.35717,             0.34659,             0.16062,            0.052386,                0.21,            0.016981,            0.008416,            0.008416,            0.008416
                  34,            0.039786,             0.11757,           0.0034916,             0.46553,              0.3609,             0.34951,             0.16178,            0.052321,             0.21028,            0.016889,           0.0083665,           0.0083665,           0.0083665
